 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11
Time(s)/Cell Status, rejected, accepted, rejected, accepted, rejected, rejected, accepted, accepted, rejected, rejected, rejected, rejected
1.199548924271845, 1.91002, 0.01086687, 1.130055, -1.666711, 0.4772317, 2.211058, 1.890442, -1.125942, 4.479805, 2.162266, 1.544648, 6.622987
1.299511334627832, 1.510671, 1.920721, 1.391286, -1.419639, 0.0399918, 2.943762, -0.2032076, -1.009011, 3.711643, 1.849776, -2.066336, 5.845023
1.399473744983819, 1.936852, 0.5105645, 1.854038, -2.866291, -0.2796126, 3.382909, 1.327228, 0.7434081, 5.208982, 3.48876, -1.229722, 3.947004
1.499436155339806, -0.5852367, 0.3735533, 1.402907, -1.122098, -1.549368, -0.05408009, 0.9170927, 0.2091881, 4.038686, 5.385207, 0.9827873, 5.642576
1.599398565695793, 1.96995, 1.629699, 0.5772436, -0.4962425, -2.666095, 3.348543, 1.150245, -1.648437, 5.469202, 2.281528, -0.1681442, 3.965664
1.69936097605178, 1.264002, -0.06085975, 1.816789, -0.9140507, -3.337875, 3.571616, 0.7925484, 0.6595297, 5.061433, 1.45393, -1.764945, 2.888072
1.799323386407767, 2.290538, -0.0698493, 1.704919, -1.841295, -4.448265, 4.419248, 1.034125, 1.825729, 5.209197, 0.5703885, 0.3593623, 2.623125
1.899285796763754, 1.089816, 0.6214543, 0.4991748, -1.553722, -1.744027, 0.9691033, 2.019489, -1.232567, 5.679471, -0.5701011, -1.861667, 5.294899
1.999248207119741, 1.775207, 1.095303, 0.3791178, -0.9099575, -2.551409, 2.104818, 0.7697203, -0.9272209, 4.069737, 0.7040555, -0.4693683, 2.930037
2.099210617475728, 2.260964, -1.646534, 0.5229686, -0.1390114, -1.666309, 2.840038, 0.6922194, 0.2285629, 4.34684, -2.273621, 1.790423, 4.605112
2.199173027831715, 1.232198, 0.450191, 1.754184, -2.021518, -1.340856, 1.560581, -1.484622, 0.554214, 4.376739, -0.8160082, 0.7201053, 3.009663
2.299135438187702, -0.01118184, 1.612351, 1.947071, -2.711989, -1.96208, 3.828411, 0.8568266, -1.324847, 3.380838, -0.258837, -1.168088, 3.859509
2.399097848543689, 1.118287, 0.1104606, 0.9513909, -3.497511, -1.364417, 3.104259, 1.233898, -0.1575421, 4.779499, 1.361649, -0.8229825, 3.783875
2.499060258899676, 1.496039, 1.573507, -1.074093, -2.62257, -0.7937931, 1.020122, 0.7729074, 0.1548571, 4.885547, 1.613969, -1.006323, 6.434807
2.599022669255663, -0.7365431, -1.216527, -0.5410953, -1.408261, -1.376664, 3.513493, 1.80815, -0.5415254, 4.56625, 0.01221898, 3.006004, 5.237837
2.698985079611651, 2.753896, -1.539977, 0.312384, -1.738506, -1.267458, 3.533128, 2.351021, 0.2253662, 6.126027, 0.9366958, 0.6484444, 5.341779
2.798947489967638, 1.744616, 1.757463, 0.795564, -1.116826, -1.086087, 2.335994, -0.5588558, -0.6155958, 5.72832, 0.9323421, 0.0283714, 2.82249
2.898909900323625, 1.045627, 2.995708, -1.023965, -0.8118856, -0.6276361, 3.0895, 1.335333, 1.513708, 5.087146, 0.3096474, 1.72668, 5.597609
2.998872310679612, 2.779515, -0.3325784, 0.2155664, -1.213696, -0.9653693, 2.166821, -1.122283, 0.3313064, 4.393978, 1.938839, 0.2846977, 4.519587
3.098834721035599, -0.5898402, -1.182435, -0.8931246, -1.039999, -1.111317, 1.249017, 1.467132, -0.4510438, 3.301977, -0.2371393, 1.551941, 2.448941
3.198797131391586, 0.4921333, -1.111546, 1.052845, -1.55956, -2.091072, 3.222179, 0.6756445, -1.710457, 4.349365, -0.80137, 1.372953, 3.908208
3.298759541747573, 1.61633, 0.5412384, 0.4193436, -0.8471178, -3.682075, 2.178035, 1.057551, -0.05862163, 5.490681, 0.8275695, 0.6634353, 6.188518
3.39872195210356, 1.726359, -0.8608963, 0.1872881, -0.02339643, -1.100876, 2.393283, -0.07284588, -0.7646195, 3.832819, -0.02878432, 1.535156, 4.982189
3.498684362459547, 1.468821, 1.302059, 0.7347726, -1.946288, -2.919313, 3.590583, 3.25008, -0.6406782, 7.21083, 2.968107, -0.871134, 5.974134
3.598646772815534, 2.296689, 2.176949, -0.5865543, -0.6036144, -0.9437364, 4.857887, 0.9700461, 2.213606, 3.343547, 2.892792, 0.09930423, 4.791597
