 , C00, C02, C04, C07, C14, C16, C17, C21, C26, C29
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
2523.585155641775, 0.1257842, 0.02534541, 9.654564, 7.696234e-05, 4.239926e-28, 0.05283076, 0.0002001086, 0.004276277, 16.1433, 0.0821267
2523.685118235736, 0.1162354, 0.0232974, 11.27103, 7.164796e-05, 3.957162e-28, 0.05018695, 0.0001873856, 0.004059445, 15.41566, 0.0781797
2523.785080829698, 0.1074115, 0.02141489, 10.60081, 6.670054e-05, 3.693257e-28, 0.04767545, 0.0001754715, 0.003853608, 17.45871, 0.0744224
2523.88504342366, 0.09925738, 0.01968449, 9.970453, 6.209475e-05, 3.446951e-28, 0.04528962, 0.0001643149, 0.003658208, 16.55099, 0.07084566
2523.985006017621, 0.09172232, 0.01809391, 9.420137, 5.780699e-05, 3.217072e-28, 0.0430232, 0.0001538677, 0.003472716, 15.69047, 0.06744083
2524.084968611583, 0.08475927, 0.01663185, 9.413431, 5.381531e-05, 3.002523e-28, 0.04087019, 0.0001440847, 0.00329663, 14.87468, 0.06419963
2524.184931205544, 0.07832482, 0.01528794, 8.853677, 5.009927e-05, 2.802283e-28, 0.03882492, 0.0001349237, 0.5823247, 14.10132, 0.06111421
2524.284893799506, 0.07237884, 0.01405261, 8.327208, 4.663982e-05, 2.615397e-28, 0.03688201, 0.0001263452, 0.5527975, 14.86185, 0.05817707
2524.384856393467, 0.06688425, 0.01291711, 7.832044, 4.341926e-05, 2.440975e-28, 0.03503632, 0.0001183121, 0.5247675, 14.80341, 0.05538108
2524.484818987429, 0.06180677, 0.01187336, 8.433033, 4.042108e-05, 2.278184e-28, 0.033283, 0.0001107897, 0.4981588, 14.7554, 0.05271947
2524.58478158139, 0.05711475, 0.01091395, 7.931576, 3.762993e-05, 2.126251e-28, 0.03161742, 0.0001037456, 0.4728994, 14.47991, 0.05018578
2524.684744175352, 0.05277892, 0.01003206, 7.459938, 3.503152e-05, 1.98445e-28, 0.03003519, 9.714944e-05, 0.4489207, 13.72707, 0.04777386
2524.784706769313, 0.04877224, 0.009221435, 7.016345, 3.261253e-05, 1.852106e-28, 0.02853214, 9.097262e-05, 0.4261579, 13.01336, 0.04547785
2524.884669363275, 0.1033162, 0.008476309, 6.599129, 3.036057e-05, 1.728588e-28, 0.02710431, 8.518853e-05, 0.4045492, 12.33677, 0.04329219
2524.984631957237, 0.09547304, 0.007791392, 6.206723, 2.826412e-05, 1.613307e-28, 0.02574793, 7.97722e-05, 0.3840363, 11.69535, 0.04121157
2525.084594551198, 3.079418, 0.007161818, 5.973564, 2.631243e-05, 1.505715e-28, 0.02445942, 7.470023e-05, 0.3645635, 11.08729, 0.03923095
2525.184557145159, 2.845646, 0.006583117, 5.9894, 2.449551e-05, 1.405298e-28, 0.0232354, 6.995075e-05, 0.3460781, 10.51083, 0.03734551
2525.284519739121, 2.629621, 0.3248005, 5.700368, 2.280405e-05, 1.311577e-28, 0.02207263, 6.550324e-05, 0.32853, 9.964351, 0.03555069
2525.384482333083, 2.429995, 0.2985554, 6.323443, 2.122939e-05, 1.224107e-28, 0.02096805, 6.133851e-05, 0.3118716, 10.00708, 0.03384213
2525.484444927044, 2.245523, 0.274431, 5.94743, 1.976346e-05, 1.142471e-28, 0.01991875, 5.743857e-05, 0.296058, 9.486794, 0.03221568
2525.584407521006, 2.075056, 0.252256, 5.593776, 1.125584, 1.066279e-28, 0.01892195, 5.378659e-05, 0.2810462, 8.993554, 0.0306674
2525.684370114967, 1.917529, 0.2318728, 5.730951, 1.04786, 9.95168e-29, 0.01797504, 5.036681e-05, 0.2667955, 8.525959, 0.02919353
2525.784332708929, 1.771961, 0.2131366, 5.39017, 1.008699, 9.287996e-29, 0.01707552, 4.716446e-05, 0.2532675, 8.082675, 0.02779049
2525.88429530289, 1.637444, 0.1959144, 5.069652, 0.9390463, 8.668574e-29, 0.01622101, 4.416571e-05, 0.2404254, 8.59948, 0.02645488
2525.984257896852, 1.513138, 0.1800838, 4.768193, 0.8742035, 8.090462e-29, 0.01540926, 4.135763e-05, 0.2282344, 8.152373, 0.02518346
2526.084220490814, 1.398269, 0.1655323, 4.48466, 0.8138382, 7.550904e-29, 0.01463813, 3.872809e-05, 0.2166617, 7.871014, 0.02397315
2526.184183084775, 1.29212, 0.1521567, 4.698284, 0.7576412, 7.047329e-29, 0.0139056, 3.626573e-05, 0.2056757, 7.461782, 0.022821
2526.284145678736, 1.19403, 0.1398619, 5.449957, 0.7053247, 6.577338e-29, 0.01320972, 3.395994e-05, 0.1952468, 7.073827, 0.02172423
2526.384108272698, 1.103386, 0.1285605, 5.673549, 0.6566207, 6.138692e-29, 0.01254867, 3.180075e-05, 0.1853466, 6.706043, 0.02068016
2526.484070866659, 1.019623, 0.1181724, 5.336181, 0.6112799, 5.729299e-29, 0.01192069, 2.977884e-05, 0.1759485, 6.357381, 0.01968628
2526.584033460621, 0.9481692, 0.1086236, 5.018873, 0.5690699, 5.347208e-29, 0.01132415, 2.788548e-05, 0.1670269, 6.026846, 0.01874016
2526.683996054583, 0.8761895, 0.09984642, 4.866921, 0.5297746, 4.990599e-29, 0.01075745, 2.611251e-05, 0.1585577, 5.713497, 0.01783951
2526.783958648544, 0.8096741, 0.09177846, 4.615777, 0.4931927, 4.657773e-29, 0.01021912, 2.445226e-05, 0.1505179, 5.41644, 0.01698214
2526.883921242505, 0.7482082, 0.08436242, 4.341308, 0.4591368, 4.347143e-29, 0.009707723, 2.289757e-05, 0.1428858, 5.134827, 0.01616598
2526.983883836467, 0.6914084, 0.07754562, 4.331228, 0.4274326, 4.05723e-29, 0.00922192, 2.144173e-05, 0.1356407, 4.867856, 0.01538905
2527.083846430429, 0.6389205, 0.07127964, 4.073678, 0.3979176, 3.78665e-29, 0.008760427, 2.007845e-05, 0.128763, 4.614765, 0.01464945
