 , C00, C01, C06, C13, C18, C24
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted
10.99587706227288, 2.02702, 0.05219509, 3.571474, 6.498476, 8.186519, 27.79997
11.09583958102081, 1.929502, 0.04876738, 3.296525, 6.188762, 7.820991, 28.01628
11.19580209976875, 1.836674, 0.04556477, 3.042742, 5.893809, 8.73358, 27.72071
11.29576461851668, 1.748313, 0.04257248, 3.018138, 5.612913, 8.822528, 26.30109
11.39572713726462, 1.664203, 0.0397767, 3.511302, 5.345405, 8.817151, 24.95417
11.49568965601255, 1.584139, 0.03716452, 3.240985, 5.090645, 8.423467, 29.23001
11.59565217476049, 1.507927, 0.03472388, 2.991478, 5.079127, 8.047359, 27.7331
11.69561469350842, 1.435382, 0.03244353, 2.76118, 8.374086, 8.550944, 26.31285
11.79557721225636, 1.366326, 0.03031292, 2.548611, 9.10165, 8.169145, 24.96533
11.89553973100429, 1.300593, 0.02832224, 2.352407, 8.667871, 9.693119, 23.68682
11.99550224975223, 1.238022, 0.02646228, 2.171307, 8.254765, 9.260323, 22.47378
12.09546476850016, 1.178462, 0.02472448, 2.004149, 8.211998, 8.846849, 21.32287
12.1954272872481, 1.121767, 0.02310079, 2.065255, 7.820619, 8.451838, 20.23089
12.29538980599604, 1.067799, 0.02158374, 1.906262, 7.447892, 8.699291, 19.19484
12.39535232474397, 1.016428, 0.02016631, 1.759509, 7.09293, 9.779036, 18.21184
12.49531484349191, 0.9675282, 0.01884196, 1.624053, 6.754885, 9.342402, 17.27919
12.59527736223984, 0.920981, 0.01760459, 3.028851, 6.43295, 8.925264, 16.39429
12.69523988098778, 0.8766731, 0.01644848, 2.795676, 6.126359, 8.526752, 15.55472
12.79520239973571, 0.8344969, 0.01536829, 2.580451, 5.834381, 8.146034, 14.75814
12.89516491848365, 0.7943497, 0.01435903, 2.381796, 5.556317, 9.015756, 14.00235
12.99512743723158, 0.756134, 0.01341606, 2.356443, 5.291506, 8.613203, 13.28527
13.09508995597952, 0.7197569, 0.01253501, 2.520984, 6.276196, 8.228624, 12.60491
13.19505247472745, 0.6851298, 0.01171182, 2.326907, 5.977076, 7.861217, 11.9594
13.29501499347539, 0.6521686, 0.01094269, 2.49306, 5.692212, 7.510214, 11.34694
