 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18
Time(s)/Cell Status, rejected, accepted, rejected, rejected, accepted, accepted, accepted, accepted, rejected, rejected, rejected, rejected, accepted, accepted, accepted, accepted, accepted, accepted, rejected
3.2987666023766, 1.247002, -0.4281861, -0.06253383, 3.276243, 1.033884, 5.226229, 2.623858, 1.477757, 1.50136, -0.8805471, 3.483336, 6.198899, -0.5485754, 0.2180255, 0.6056805, -0.9753739, 0.5448269, -0.8949401, 1.831256
3.398729226691042, 0.5362771, 0.5071506, -0.6325965, 3.334785, 0.05972068, 3.981433, 2.881529, 3.065981, 3.325166, -1.297072, 2.968463, 7.030778, -0.3419645, -0.07565933, -0.7506093, -1.879659, 2.042072, 2.569331, 1.717109
3.498691851005484, 2.671642, -0.5329604, 0.6592451, 3.176681, -0.5858153, 2.772837, 3.120174, 2.460436, 4.608857, -0.4610884, 2.443746, 10.84845, -2.704583, -0.235129, 0.3275712, -0.05447302, 0.3816574, -0.5825456, 1.608104
3.598654475319927, -0.3089676, -0.3682638, 1.768692, 3.924437, 0.1786442, 6.032506, 6.607993, 1.712704, 4.180303, -4.21737, 5.213711, 8.562831, 0.8325056, 1.202339, 1.060058, -0.06130053, -0.6119649, 0.716128, 1.504009
3.698617099634369, 1.342627, -0.1338636, -0.5225894, 4.159179, -2.44587, 3.489584, 5.024905, 3.321662, 4.43921, -2.548168, 4.494316, 1.58428, 0.5562923, 0.3879524, -1.360151, -0.6441739, 1.529303, 0.9782864, 1.404602
3.798579723948812, 1.975434, 0.4711325, -1.042492, 3.283078, -1.272983, 5.201648, 5.562727, 2.554352, 5.863497, -2.872332, 5.396192, 0.6875775, -0.7229102, 0.003062688, 0.8019578, -0.5093296, 2.280429, 1.777173, 1.309673
3.898542348263254, 0.6825651, -0.31705, -0.179377, 4.841226, -1.807328, 5.051427, 5.42041, 2.136502, 7.438121, -1.672719, 5.69922, 0.4403115, -0.6481476, 1.034653, 2.140294, 0.4694457, 1.170094, -0.01812299, 1.21902
3.998504972577697, 1.745148, -0.6635135, -1.369369, 2.963926, -0.8190879, 6.308908, 5.085453, 2.336634, 5.588284, -1.556686, 7.056962, 0.2722778, -0.5147572, 0.705804, 1.523273, -0.1449276, -0.4900827, 1.091385, 1.13245
4.098467596892139, 1.755237, -0.08888052, 0.8868872, 2.020755, -1.178169, 5.850759, 7.419265, 2.640324, 2.236197, 0.1931833, 6.3211, -0.9243292, -0.3122959, 2.353016, 2.190347, 1.252757, -0.346857, 0.0538844, 1.04978
4.198430221206581, 2.751507, 0.8187577, 0.9485573, 3.62262, -1.035988, 5.703126, 5.221953, 1.024091, 0.15688, 0.7199252, 3.750188, 0.2867511, -0.6452479, -0.3501949, 0.533759, -0.02811486, 2.699563, 0.5060337, 3.280365
4.298392845521024, 2.590844, -0.4746301, -1.067422, 7.739452, -0.3348388, 5.470879, 2.217216, 2.00924, -0.6617535, -0.0918247, 4.196458, 0.3636985, 0.7705483, 0.5986568, 0.5100102, -0.423833, 1.811811, -0.2156688, 3.100945
4.398355469835466, 2.00126, -0.4036967, -0.4379001, 5.107814, -2.600808, 2.679836, 1.989262, 2.836604, 0.5522845, 0.1898908, 4.370515, -1.301962, 0.5907303, 0.1212761, -0.2867787, 1.372691, -0.5977656, -0.4300078, 8.021004
4.498318094149909, 0.8905395, 0.967887, 0.6696789, 5.243774, 0.7590317, 4.66385, 4.113483, 3.461554, 1.544774, -0.5587654, 3.257959, 0.9086597, -1.455961, 1.007483, 1.392203, 0.1481655, 1.019732, 0.5590795, 7.628048
4.598280718464351, 0.7059202, 0.6558291, -0.079895, 5.391285, -0.7494737, 2.492219, 2.391446, 1.615777, 2.530918, 0.5039472, 3.535011, 0.9780574, 1.47354, -1.444488, 1.915438, 1.794411, 1.157667, -0.9486525, 7.252793
4.698243342778794, 0.6779743, -0.5780278, -0.01559823, 5.355812, -1.241062, 2.350376, 2.592648, 2.565414, 1.25103, 2.534983, 3.705964, 1.780977, -0.5275436, -1.260087, 0.3766894, 1.131635, 0.4559364, 0.5193532, 6.894442
4.798205967093236, 2.639334, -0.539601, 2.33888, 3.518758, -1.772156, 3.147934, 2.124635, 0.8481289, 0.5496948, 0.8690827, 3.376843, -1.369452, -1.289571, -0.4703586, -1.964868, 0.4536222, 2.385824, 1.306743, 6.552231
4.898168591407678, 2.173266, 1.559287, 0.8652238, 3.019414, -1.583365, 2.630623, 1.957306, 1.803488, -0.6978034, 1.945316, 4.117936, 1.98273, -2.998911, 0.5623833, 1.391199, 0.9628912, 2.523293, 0.9644583, 6.225435
4.998131215722121, 1.911725, 0.889004, 0.9782371, 4.135706, -1.88857, 1.690661, 2.138124, 1.758953, 2.764608, 0.2083338, 2.492353, 1.874796, 0.9896351, 0.5303884, -1.526782, 0.3905208, 0.1603136, 1.653092, 5.913359
5.098093840036563, 0.7598147, 0.09281678, 0.6957211, 6.384018, -2.490291, 1.492073, 2.343093, 3.528099, 1.646184, -1.552119, 3.932615, -0.1467782, -1.287855, 3.009485, 0.1672033, 0.623698, 0.01538091, 0.7200595, 5.615339
5.198056464351006, 2.419802, 0.3950879, 0.09603763, 3.000785, -0.2437702, 3.780388, 2.330129, 5.309086, 2.674094, 2.109927, 5.355464, 2.112406, -0.8802195, 2.926426, 0.1833432, 1.578449, 1.920836, 0.2963562, 5.330744
5.298019088665447, 2.809525, -0.3341387, -1.049694, 1.383819, 0.1351393, 2.7251, 2.061578, 2.005066, 0.808709, 0.3619559, 3.981516, -0.9240728, -1.267349, 1.55114, 1.269231, -0.6807239, 1.123132, 0.1751758, 5.058968
5.39798171297989, 1.923773, -0.1404791, -0.6862964, 3.992981, -0.9406244, 1.130123, 0.3472363, 4.551234, 3.184645, -1.510812, 4.836486, 2.79128, 0.4578349, -0.4752234, 0.8699675, 0.3834055, 1.651057, 1.669174, 4.799433
5.497944337294332, 1.190174, 0.6176283, -0.251985, 3.048311, -1.727856, 0.7832487, 1.721028, 2.839708, 2.051595, -0.7640561, 5.086318, -0.1656137, -1.632992, -1.536191, -1.556213, 1.038619, 0.3785326, 0.3471837, 4.551589
5.597906961608775, 0.428666, -0.7975888, -0.3082811, 2.062343, -0.2443265, 4.799396, 3.619384, 2.520199, 3.579929, -1.817539, 3.932168, 1.747688, -0.2096245, 0.9797668, 1.50595, 1.577974, -0.2082342, 0.4569105, 4.314908
5.697869585923217, 1.510194, 1.777356, 1.552121, 4.630788, -0.813896, 2.389014, 4.853961, 1.424813, 2.287883, -0.00983372, 4.7831, 1.604113, -2.182906, 1.459199, -0.7959449, 1.064376, 1.678046, 1.740554, 4.088889
5.79783221023766, -0.01630359, 1.16853, 0.9637491, 2.200689, -2.136089, 1.905404, 4.023535, 1.1245, 1.342573, 0.50548, 5.522592, -0.07749766, 0.03596805, -0.3364629, -0.271176, -0.8741086, -1.01394, 0.8110205, 3.87305
5.897794834552102, 1.873986, -0.6976252, -1.880422, 1.505586, -1.242637, 3.354817, 2.045134, 1.102702, 1.434647, -0.4780929, 5.545393, 0.9370385, -0.791113, -0.101432, 0.4492095, 0.1494971, 0.2998703, 0.8303151, 3.666933
5.997757458866545, 2.594166, -0.6752853, -0.7149234, 2.051664, -1.000315, 2.502915, 2.896793, 3.295182, 1.900035, -0.2416815, 5.041031, 2.396244, 0.1435825, 0.2403951, -0.8731034, 1.129439, -0.07322989, 1.308833, 4.57092
6.097720083180987, 0.5260878, -0.7366986, -0.7872947, 1.80708, -1.509212, 1.741341, 4.843245, 1.941609, 1.453428, 0.581328, 4.958429, 1.353106, 0.3407992, 1.064235, -0.8290477, -0.543101, 0.01459431, -1.698035, 4.333368
6.19768270749543, 2.194686, -0.9512961, 1.250424, 2.1637, -1.384234, 3.675792, 2.804752, 1.225797, 1.936969, -0.5493321, 3.851508, 0.3815368, 1.396149, 0.8196088, 0.3752371, -1.24727, -0.1237031, 1.397431, 4.106517
