 , C00, C01, C02, C03, C12, C16, C22, C29, C30, C32, C36, C38
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
161.539758178701, 0.5572298, 0.5932018, 0.6652277, 0.004937906, 20.67753, 2.547516, 0.003198867, 4.27663, 2.046578, 0.2113632, 0.1380532, 2.52726
161.6397209003462, 0.5277314, 0.5473904, 0.6130347, 0.004702232, 20.90598, 2.19929, 0.003034488, 4.023403, 1.924702, 0.2000834, 0.1232536, 2.380813
161.7396836219914, 0.4997945, 0.5051169, 0.5649368, 0.004477807, 20.34948, 1.898664, 0.002878556, 3.78517, 1.810084, 0.1894056, 0.1100405, 2.242852
161.8396463436367, 0.4733365, 0.4661081, 0.5206125, 0.004264093, 19.39054, 1.639131, 0.002730637, 3.561044, 1.702292, 0.1792976, 0.09824391, 2.112886
161.9396090652819, 0.4482792, 0.4301119, 0.4797659, 0.004060578, 18.47678, 1.415074, 0.002590318, 3.350188, 1.600918, 0.1697291, 0.08771195, 1.990451
162.0395717869271, 0.4245483, 0.3968956, 0.442124, 0.003866777, 18.75809, 1.221644, 0.002457211, 3.151817, 1.505582, 0.1606711, 0.07830902, 1.875111
162.1395345085724, 0.4020737, 0.3662444, 0.4074355, 0.003682225, 19.82175, 1.054654, 0.002330943, 2.965192, 1.415923, 0.1520966, 0.06991412, 2.163189
162.2394972302176, 0.3807888, 0.3379604, 0.3754686, 0.003506482, 18.988, 0.910491, 0.002211164, 2.789618, 1.331603, 0.1439797, 0.06241916, 2.037839
162.3394599518628, 0.3606308, 0.3118606, 0.3460098, 0.003339127, 22.27053, 0.7860338, 0.002097539, 2.62444, 1.864259, 0.136296, 0.05572769, 1.919753
162.4394226735081, 0.3415398, 0.2877765, 0.3188623, 0.003179759, 22.51556, 0.6785889, 0.001989754, 2.469042, 1.75324, 0.1290223, 0.04975355, 1.808509
162.5393853951533, 0.3234595, 0.2655523, 0.2938447, 0.003027997, 21.45454, 0.5858309, 0.001887507, 2.322845, 1.648833, 0.1221368, 0.04441985, 1.703712
162.6393481167985, 0.3063363, 0.2450444, 0.27079, 0.002883478, 23.55395, 0.5057523, 0.001790514, 2.185306, 1.550643, 0.1156187, 0.03965794, 1.604987
162.7393108384438, 0.2901196, 0.2261203, 0.2495442, 0.002745857, 24.04745, 0.4366197, 0.001698506, 2.05591, 1.458301, 0.1094485, 0.03540652, 1.511983
162.839273560089, 0.2747613, 0.2086577, 0.2299653, 0.002614804, 22.91425, 0.3769371, 0.001611225, 1.934175, 1.371457, 0.1036076, 0.03161086, 1.424368
162.9392362817343, 0.2602161, 0.1925436, 0.2119225, 0.002490006, 21.83444, 0.3254126, 0.00152843, 1.819649, 1.289786, 0.09807838, 0.0282221, 1.341831
