 , C0, C1, C2, C3
Time(s)/Cell Status, accepted, accepted, accepted, accepted
386.555226301325,0.04532573,4.664E-11,0.0001770459,4.822093
386.655188863079,0.0386571,3.999882E-11,0.0001670604,7.522078
386.755151424832,0.03296961,3.43033E-11,0.0001576381,6.725515
386.855113986586,0.0281189,2.941877E-11,0.0001487472,6.013306
386.95507654834,0.02398185,2.522977E-11,0.0001403577,5.376517
387.055039110093,0.02045348,2.163724E-11,0.0001324415,4.807162
387.155001671847,0.01744423,1.855627E-11,0.0001249717,4.2981
387.2549642336,0.01487772,1.5914E-11,0.0001179232,3.842945
387.354926795354,0.01268881,1.364797E-11,0.0001112722,3.43599
387.454889357108,0.01082194,1.17046E-11,0.0001049964,3.07213
387.554851918861,0.009229747,1.003796E-11,0.00009907454,2.746802
387.654814480615,0.007871804,8.608629E-12,0.00009348666,2.455925
387.754777042369,0.006713651,7.382827E-12,0.00008821395,2.195851
387.854739604122,0.005725894,6.331569E-12,0.00008323862,1.963317
387.954702165876,0.004883462,5.430003E-12,0.0000785439,1.755409
388.05466472763,0.004164974,4.656812E-12,0.00007411397,1.569517
388.154627289383,0.003552195,3.993718E-12,0.00006993389,1.5485
388.254589851137,0.003029572,3.425043E-12,0.00006598957,1.384519
388.35455241289,0.002583841,2.937344E-12,0.00006226772,1.407165
388.454514974644,0.002203689,2.519089E-12,0.00005875577,1.258151
388.554477536398,0.001879467,2.16039E-12,0.00005544191,1.124917
388.654440098151,0.001602947,1.852767E-12,0.2330594,1.005792
388.754402659905,0.0973362,1.588947E-12,0.2199146,0.8992818
388.854365221659,0.1057105,1.362694E-12,0.2075113,0.8040509
388.954327783412,0.09015766,1.168657E-12,0.1958075,0.7189046
389.054290345166,0.07689305,1.002249E-12,0.1847638,0.9573283
389.15425290692,0.4623733,8.595363E-13,0.174343,0.8559505
389.254215468673,0.3943459,7.37145E-13,0.16451,0.7653082
389.354178030427,0.336327,6.321812E-13,1.564066,0.6842646
389.454140592181,0.3675258,5.421635E-13,3.123554,0.6118033
389.554103153934,0.3134529,4.649636E-13,4.463635,0.8260309
389.654065715688,0.2673356,3.987564E-13,4.22193,0.8819739
389.754028277441,0.2280034,3.419765E-13,5.112225,0.8931224
389.853990839195,0.194458,2.932817E-13,6.630602,0.7985437
389.953953400949,0.165848,2.515206E-13,6.256632,0.7139806
390.053915962702,0.1414474,2.15706E-13,5.903753,0.6383725
390.153878524456,0.1206367,1.849912E-13,5.570777,0.570771
390.25384108621,0.1028878,1.586499E-13,5.256582,0.5103282
390.353803647963,0.08775024,1.360593E-13,4.960107,0.4562862
390.453766209717,0.07483984,1.166855E-13,4.680353,0.407967
390.553728771471,0.0638289,1.000704E-13,4.416378,0.3647647
390.653691333224,0.05443796,8.582116E-14,4.167291,0.3261373
390.753653894978,0.04642868,7.360089E-14,3.932253,0.2916005
390.853616456732,0.03959778,6.312069E-14,3.710471,0.2607209
390.953579018485,0.03377189,5.413279E-14,3.501198,0.2331115
391.053541580239,0.02880314,4.64247E-14,3.303728,0.2084257
391.153504141993,0.02456543,3.981418E-14,3.117395,0.1863542
391.253466703746,0.0209512,3.414495E-14,2.941572,0.1666199
391.3534292655,0.01786872,2.928297E-14,2.775665,0.1489754
391.453391827253,0.01523975,2.51133E-14,2.619116,0.1331994
391.553354389007,0.01299758,2.153736E-14,2.471396,0.119094
391.653316950761,0.01108528,1.847061E-14,2.332007,0.1064824
391.753279512514,0.009454343,1.584054E-14,2.20048,0.09520624
391.853242074268,0.008063356,1.358497E-14,2.076372,0.08512422
391.953204636022,0.006877021,1.165057E-14,1.959263,0.112309
392.053167197775,0.005865227,9.99162E-15,1.848759,0.1004159
392.153129759529,0.005002296,8.56889E-15,1.744488,0.08978216
392.253092321282,0.004266324,7.348746E-15,1.646097,0.08027453
392.353054883036,0.003638634,6.302341E-15,1.553256,0.07177372
392.45301744479,0.003103293,5.404937E-15,1.465652,0.06417312
392.552980006543,0.002646716,4.635315E-15,1.393291,0.05737741
392.652942568297,0.002257313,3.975282E-15,1.314708,0.05130133
392.752905130051,0.001925202,3.409233E-15,1.349724,0.04586869
392.852867691804,0.001641953,2.923785E-15,1.273599,0.04101135
392.952830253558,0.001400378,2.50746E-15,1.201767,0.03666839
393.052792815312,0.001194345,2.150417E-15,1.133986,0.03278533
393.152755377065,0.001018625,1.844214E-15,1.070029,0.02931347
393.252717938819,0.000868758,1.581612E-15,1.009678,0.02620927
393.352680500572,0.0007409405,1.356403E-15,0.9527317,0.0234338
393.452643062326,0.0006319283,1.163262E-15,0.8989969,0.02095224
393.55260562408,0.0005389548,9.976222E-16,0.8482929,0.01873346
393.652568185833,0.0004596601,8.555685E-16,0.8004485,0.01674965
393.752530747587,0.0003920318,7.337421E-16,0.7553027,0.01497592
393.852493309341,0.0003343535,6.292629E-16,0.712703,0.01339002
393.952455871094,0.0002851611,5.396607E-16,0.6725061,0.01197206
394.052418432848,0.0002432063,4.628172E-16,0.6345763,0.01070426
394.152380994602,0.0002074241,3.969156E-16,0.5987857,0.009570717
394.252343556355,0.0001769065,0.3044249,0.5650138,0.00855721
