 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, rejected, accepted, accepted, rejected, accepted, accepted, accepted
6.696382, 1.850984, 1.242354, -0.4305353, -0.9556865, 0.08164594, -0.5211312, -0.5038619, 20.36653, 0.7966875, 1.685573, 0.06119247, 3.453832, 2.331808, 0.006491219, 9.633655, -1.0912
6.796328, 2.40958, 1.509792, -1.078884, 1.926743, 1.099727, 0.4895425, -0.3118103, 18.77962, 1.87083, 1.643292, -0.1963479, 4.921634, 0.9953865, -0.31319, 15.76012, -0.6350628
6.896274, 2.841561, 0.71561, -1.301468, -0.8651314, 0.06590509, 0.6674125, 0.1261933, 16.48075, 3.080519, 2.596553, -1.215626, 5.409165, -0.002262463, -0.6321687, 22.9472, -2.258722
6.99622, -0.3702421, -1.25251, 0.03450808, 0.2508737, -0.8023031, -0.1141781, 0.5654517, 16.57977, 2.271398, 2.510799, -0.6286272, 3.247153, 1.023994, -1.159789, 21.43825, -1.798992
7.096166, 0.1607618, 0.4914153, 0.7938117, 2.538293, 1.27138, 1.457072, 2.881067, 14.24095, 3.381583, 2.877206, 1.087124, 4.703104, -0.8303115, 0.1754042, 18.82872, -1.11909
7.196112, 1.898859, 0.901542, 1.062313, 0.5483459, 0.9329547, 0.8162499, -0.2135744, 14.30368, 1.193166, 1.743347, 1.401817, 4.660927, 2.526916, -3.176407, 23.52294, -1.848847
7.296058, 0.8766156, 0.8563241, 1.538416, -0.775213, -0.3180981, 0.2693775, 1.629462, 15.17642, 2.559887, 1.108433, -0.2097811, 3.984585, 0.2923125, -2.027168, 18.83061, -0.3386011
7.396004, 0.8737026, 1.366972, -1.841259, 0.2920966, -0.5840355, 1.31863, 0.8866085, 11.56632, 0.8900984, 1.200096, 0.395718, 3.221188, 1.491613, -1.469327, 19.46233, -0.1663999
7.49595, 2.150743, -0.704762, 1.615625, -1.689407, 0.2651495, 0.8142803, 0.597554, 12.73902, 3.738407, 1.431888, -0.2905053, 2.932999, -1.11659, -0.409786, 23.19171, -1.603659
7.595896, 0.3045118, 1.639261, 0.874131, 0.6864133, -0.879822, -1.225178, 1.006475, 11.39512, 1.751234, 1.656016, -2.344827, 2.807684, -1.659257, 1.763781, 33.28772, -2.517579
7.695842, 1.231877, -1.28816, 1.033248, -0.5043644, 0.3758521, -0.3032514, 2.513801, 11.45278, 0.238894, 3.703122, -0.7565339, 1.978715, 0.8499731, -0.6858025, 36.14651, -2.360681
7.795788, 1.382012, 0.2290866, 0.9776185, -0.7358652, -0.4108591, -0.7062532, 1.637517, 11.50847, -0.6768946, 3.65238, -0.4188586, 2.137114, 0.4578081, -1.159175, 32.53131, -1.27572
7.895734, -0.5230312, 0.5270875, 0.4635449, 0.194724, -1.851641, -2.251198, -0.05465537, 10.85795, 1.497048, 3.412554, -2.627423, 2.803929, -0.8515367, -0.1064156, 30.00602, -0.8015047
7.99568, 1.098786, -0.2619221, 0.4230337, 0.2218582, 1.13841, -0.7706556, -0.7856183, 11.03416, 2.224918, -0.4152281, -0.8500123, 3.337936, 1.251451, 0.4578406, 29.6127, 0.6782923
8.095625999999999, -0.106558, 0.2825522, -0.7234315, 1.084982, -0.8543357, 1.373286, -1.7101, 10.13262, 1.73311, 0.3894865, 0.04056376, 3.323501, 0.7315329, 0.352959, 29.11897, -1.984205
8.195572, -0.3580657, 0.8652596, -0.6762673, -1.146094, 2.34577, 1.472937, 2.021771, 11.28115, 0.1134476, 0.9614779, -1.334872, 3.781305, 0.3394642, -0.2517122, 29.1452, -2.116999
8.295518, 0.976537, -1.276558, -0.1005419, -0.5270561, 0.4793692, -2.253375, -0.9385435, 10.57795, 1.063957, -0.2689993, -1.042812, 4.160202, 3.211834, -0.549039, 24.22362, -0.7695209
8.395464, 0.7850336, 1.006083, -0.8019658, -0.6681904, 1.575999, 0.1188639, 0.5331315, 11.93112, 0.7114839, 1.055499, -0.416374, 2.35789, -0.7825381, -2.116583, 26.48281, -0.3184156
8.49541, 1.558341, -0.5832112, -1.179612, -0.4405756, -0.3119434, 2.147576, 0.7435729, 10.95378, -0.06194219, -0.1646321, -3.010822, 4.16021, 0.6978449, -1.526853, 22.4697, -1.936358
8.595356000000001, 1.569198, -1.853506, -0.6319205, -1.0952, -0.254544, 0.03512925, -1.360277, 9.614172, 0.4636267, 0.6874289, -1.60093, 3.142888, 0.04996772, -2.20639, 23.72593, -1.864591
8.695302, -0.5889469, 0.9400995, -1.489001, 0.2021122, -0.2240998, -1.10479, -0.4166105, 9.349141, -0.4580098, 1.340651, -1.223254, 1.764104, 0.9554145, -0.9989777, 22.50282, -0.7875958
8.795248000000001, -0.1422966, 1.119286, -0.6783316, 0.8510775, -0.8672939, -0.1480614, -0.2916009, 9.852443, 1.046611, 2.284204, -0.9043992, 2.996951, 1.638772, -0.7215565, 22.90977, -0.5722383
