 , C00, C01, C02, C03, C05, C06, C07, C08, C09, C10, C13, C15, C18, C21, C22, C25, C26, C27, C28, C29, C30
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
65.67547336777611, 0.0001818399, 9.636191, 4.351099, 0.03142258, 0.2005285, 0.1677267, 0.0001049691, 0.2587863, 0.04033808, 32.2638, 28.44126, 0.005215516, 0.04635821, 0, 0.9396077, 0.1009379, 0.5790622, 0.5207301, 0.01960127, 0.02019286, 0.01064897
65.77543603652462, 0.0001704669, 9.411674, 3.931897, 0.02913216, 0.1894992, 0.1556854, 9.44798e-05, 0.2354688, 0.0350709, 31.6429, 29.16713, 0.004869647, 0.04272449, 0, 1.619715, 0.08851457, 0.5207828, 0.4554791, 0.01661207, 0.01910882, 0.009861243
65.87539870527314, 0.0001598052, 8.937993, 3.553082, 0.7757092, 0.1790766, 0.1445086, 8.503872e-05, 0.2142523, 0.03049148, 30.05858, 28.90185, 0.004546715, 0.03937559, 0, 1.493054, 0.0776203, 0.4683689, 0.3984045, 0.01407873, 0.01808296, 0.009131783
65.97536137402166, 0.0001498104, 8.900581, 3.210764, 0.719167, 0.1692272, 0.1341341, 7.654104e-05, 0.1949475, 0.02651002, 28.55359, 27.43279, 0.004245199, 0.03628919, 0, 1.376298, 0.06806688, 0.4212302, 0.3484817, 0.01193172, 0.01711218, 0.008456282
66.07532404277018, 0.0001404407, 9.027122, 2.901426, 0.6667462, 0.1599195, 0.1245045, 6.889252e-05, 0.1773821, 0.02304845, 27.12395, 26.45099, 0.003963677, 0.03344471, 0, 1.268672, 0.05968929, 0.3788358, 0.3048146, 0.01011213, 0.01619352, 0.00783075
66.17528671151869, 0.000131657, 9.213548, 2.621891, 0.6181464, 0.1511238, 0.1155661, 6.200829e-05, 0.1613994, 0.02003887, 25.7659, 26.79213, 0.003700825, 0.0308232, 0, 1.169462, 0.0523428, 0.3407081, 0.2666193, 0.008570028, 0.01532418, 0.00725149
66.27524938026721, 0.0001234227, 8.749838, 2.369287, 0.5730891, 0.1428118, 0.1072695, 5.581199e-05, 0.1468568, 0.01742228, 26.71265, 27.4341, 0.003455403, 0.02840717, 0, 1.471763, 0.04590051, 0.3064177, 0.2332101, 0.007263097, 0.0145015, 0.00671508
66.37521204901573, 0.0001157033, 8.309466, 2.14102, 0.5313161, 0.1357567, 0.0995685, 5.023486e-05, 0.1336245, 0.01514735, 26.4019, 26.70891, 0.003226257, 0.02618051, 0, 1.356671, 0.04025113, 0.2755785, 0.2039873, 0.006155473, 0.01372299, 0.006218349
66.47517471776425, 0.0001084668, 8.27429, 1.934746, 0.492588, 0.1282899, 0.09242035, 4.521504e-05, 0.1215845, 0.01316947, 26.28755, 27.59442, 0.003012307, 0.02412839, 0, 1.25058, 0.03529707, 0.247843, 0.1784263, 0.005216762, 0.01298628, 0.005758362
66.57513738651276, 0.0001016828, 8.754355, 2.086676, 0.4566827, 0.1212338, 0.08578538, 4.069683e-05, 0.1106293, 0.01144985, 24.97137, 27.39081, 5.180409, 0.02223712, 0, 1.152785, 0.03095274, 0.222899, 0.1560683, 0.004421205, 0.01228911, 0.005332401
66.67510005526128, 9.532321e-05, 8.313756, 2.375817, 0.4233947, 0.1145659, 0.07962675, 3.663012e-05, 0.1006613, 0.34063, 23.72109, 26.07409, 13.76448, 0.0204941, 0, 1.062638, 0.02714312, 0.2004655, 0.1365119, 0.00374697, 0.01162938, 0.004937951
66.7750627240098, 8.936133e-05, 8.011663, 2.146921, 0.392533, 0.1082646, 0.07391024, 3.296978e-05, 0.09159135, 0.2961519, 23.09058, 24.74877, 22.60796, 0.01888769, 0, 0.9795396, 0.02380237, 0.1802898, 0.4660239, 0.003175556, 0.01100506, 0.004572678
66.87502539275832, 8.377232e-05, 8.387216, 1.940078, 0.3639209, 0.1023099, 0.06860413, 2.96752e-05, 0.08333867, 0.2574816, 22.18142, 24.64761, 32.6361, 0.01740721, 0, 2.489334, 0.02087281, 0.1621446, 0.407628, 0.002691283, 0.01041425, 0.004234426
66.97498806150683, 7.853287e-05, 7.965094, 1.753163, 0.3373943, 0.09668279, 0.06367896, 2.670985e-05, 0.07582958, 0.2238607, 21.07083, 23.49886, 44.32984, 0.01604277, 0, 3.575141, 0.0183038, 0.1458257, 0.3565495, 0.002280862, 0.009855167, 0.003921195
67.07495073025535, 7.362112e-05, 7.564218, 1.584256, 0.3128013, 0.09136514, 0.05910737, 2.404081e-05, 0.06899709, 0.1946298, 20.01584, 22.8763, 47.74414, 0.01478528, 0, 3.295566, 0.01605099, 0.1311491, 0.3118714, 0.00193303, 0.009326095, 0.003631135
67.17491339900387, 6.901657e-05, 7.445829, 1.431623, 0.2900009, 0.08633997, 0.05486397, 1.064558, 0.06278022, 0.5812358, 20.00594, 21.71352, 44.57798, 0.01362636, 0, 3.037853, 0.01407546, 0.1179497, 0.8913631, 0.001638243, 0.008825426, 0.003362531
67.27487606775239, 6.470001e-05, 7.071087, 1.293694, 0.2688625, 0.08159118, 0.05092522, 0.95818, 0.05712352, 0.9285032, 19.00427, 21.95573, 42.50925, 0.01255828, 0, 2.912805, 0.01234306, 0.1060787, 0.7796693, 0.00138841, 0.008351635, 0.003113796
67.37483873650091, 6.065342e-05, 6.715206, 1.169055, 0.2492648, 0.07710359, 0.04726924, 0.8624318, 0.0519765, 0.807263, 19.40439, 20.83974, 52.14518, 0.01157391, 0, 2.685024, 0.0108239, 0.09540248, 0.6819715, 0.001176677, 0.00790328, 0.002883461
67.47480140524942, 5.685992e-05, 6.377235, 1.056423, 0.2310956, 0.07286281, 0.04387572, 0.7762516, 0.04729325, 0.7018538, 18.59079, 19.78047, 60.13721, 0.01066671, 0, 2.741795, 0.009491703, 0.08580075, 0.596516, 0.0009972339, 0.007478994, 0.002670164
67.57476407399794, 5.330368e-05, 6.508484, 0.9546431, 0.2142508, 0.06885529, 0.04072583, 0.698683, 0.04303197, 1.130097, 18.04275, 21.09154, 62.35202, 0.009830614, 0, 7.226705, 0.008323475, 0.07716539, 0.5217685, 0.0008451555, 0.007077487, 0.002472646
67.67472674274646, 4.996986e-05, 6.337776, 0.8626689, 0.1986339, 0.06506818, 0.03780207, 0.6288657, 0.03915465, 1.165337, 17.13937, 20.01948, 61.72833, 0.009060055, 0, 10.32075, 0.007299031, 0.06939913, 0.4563874, 0.0007162691, 0.006697534, 0.002289738
67.77468941149498, 4.684455e-05, 6.018801, 0.7795559, 0.1841553, 0.06148936, 0.03508822, 1.131185, 0.03562669, 1.013172, 16.53199, 19.78148, 64.21193, 0.008349895, 0, 9.513666, 0.006400675, 0.06241449, 1.024021, 0.0006070379, 0.006337979, 0.00212036
67.87465208024349, 4.391471e-05, 5.715879, 0.7044503, 0.170732, 0.05810738, 0.03256919, 1.018149, 0.5531263, 0.8808762, 17.07713, 18.776, 68.73499, 0.007695401, 0, 8.7697, 0.005612887, 0.05613282, 0.8957044, 0.0005144645, 0.005997726, 0.001963512
67.97461474899201, 4.116811e-05, 5.428204, 0.6365807, 0.1582872, 0.05491142, 0.03023101, 1.487608, 0.5032878, 0.765855, 16.6192, 19.23845, 66.09621, 0.007092208, 0, 8.083912, 0.00492206, 0.05048337, 0.7834666, 0.0004360086, 0.00567574, 0.001818266
68.07457741774053, 3.85933e-05, 5.155007, 0.5752499, 0.1467495, 0.05189123, 0.02806069, 1.338956, 0.4579399, 0.6658527, 15.7871, 18.26057, 64.02848, 0.006536296, 0, 7.451752, 0.004316259, 0.0454025, 0.685293, 0.0003695172, 0.00537104, 0.001683765
68.17454008648905, 3.617953e-05, 4.923909, 0.8454787, 0.1360528, 0.04903716, 0.02604618, 1.205158, 0.416678, 0.5789083, 15.09477, 17.60742, 60.82277, 0.006023957, 0.3469824, 6.869027, 0.003785019, 0.04083299, 0.5994211, 0.0003131657, 0.005082697, 0.001559213
