 , C00, C01, C02, C05, C06, C07, C08, C11, C15, C16, C20
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
2027.506076944513, 2.218789e-05, 2.139657, 0.002442454, 0.2374531, 0.006685721, 0.1629564, 0.6354845, 1.567335e-06, 30.37846, 0.4926915, 1.528257
2027.606000958308, 2.100344e-05, 2.327591, 0.002292456, 0.2265412, 0.006171239, 0.1540502, 0.5951021, 1.467328e-06, 28.05413, 0.4553575, 1.364253
2027.705924972102, 1.988223e-05, 2.071821, 0.00215167, 0.2161308, 0.005696347, 0.1456307, 0.557286, 1.373703e-06, 25.90763, 0.4208524, 1.217849
2027.805848985896, 1.882086e-05, 1.88574, 0.00201953, 0.2061987, 0.005258, 0.1376714, 0.5218728, 1.286051e-06, 23.92537, 0.388962, 1.087156
2027.90577299969, 1.781616e-05, 1.678523, 0.001895505, 0.1967231, 0.004853384, 0.1301471, 0.48871, 1.203992e-06, 22.09478, 0.3594881, 1.397238
2028.005697013484, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
2028.105621027278, 1.686509e-05, 1.494077, 0.001779096, 0.1876829, 0.004479905, 0.123034, 0.4576546, 1.127169e-06, 20.40425, 0.3322476, 1.247294
2028.205545041073, 1.596479e-05, 1.329898, 0.001669837, 0.7425719, 0.004135165, 0.1163097, 0.4285727, 1.055248e-06, 19.43829, 0.3070713, 1.113441
2028.305469054867, 1.511255e-05, 1.826833, 0.001567287, 0.7084479, 0.003816955, 0.1099529, 0.4013387, 9.87916e-07, 18.73205, 0.2838027, 0.9939529
2028.405393068661, 1.43058e-05, 1.62609, 0.001471036, 0.6758919, 0.003523231, 0.1039435, 0.3758354, 9.248802e-07, 17.4854, 0.2622973, 0.8872873
2028.505317082455, 1.354212e-05, 1.447405, 0.001380695, 0.6448321, 0.00325211, 0.09826261, 0.3519526, 8.658665e-07, 16.14755, 0.2424215, 0.7920685
2028.605241096249, 1.281921e-05, 1.288355, 0.001295903, 0.6151995, 0.003001852, 0.09289216, 0.3295875, 8.106183e-07, 14.91206, 0.2240518, 1.363309
