 , C00, C01, C05, C06, C11, C12, C19, C21, C26, C33, C44, C46, C57, C59, C60, C71, C73, C75
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
1078.398467761316, 9.056247, 0.001600749, 2.697678, 1.378334, 3.783889, 0.08407752, 0.9913539, 6.183711, 0.5513881, 1.395103, 1.665763, 2.471511, 0.1569023, 0.356929, 1.38642, 15.91241, 4.392223, 0.1584349
1078.498430541049, 8.553011, 0.00150411, 2.557173, 1.302469, 3.422074, 0.1842657, 0.9366532, 5.879112, 0.5226791, 1.32818, 1.527147, 2.324582, 0.147743, 0.3389836, 1.29843, 15.08947, 4.099488, 0.1488475
1078.598393320782, 8.55863, 0.001413306, 2.423987, 1.793885, 3.094856, 0.170465, 0.8849707, 6.690269, 0.4954649, 1.264468, 1.400066, 2.261642, 0.1391184, 0.3219405, 1.216025, 14.3091, 3.826264, 0.1398402
1078.698356100516, 8.083046, 0.001327983, 2.297738, 1.695147, 2.798926, 0.157698, 0.83614, 6.841787, 0.4696676, 1.203812, 1.28356, 2.12719, 0.1309973, 0.3057542, 1.13885, 13.56909, 3.571249, 0.131378
1078.798318880249, 7.633889, 0.001247812, 2.178064, 2.258886, 2.531293, 0.1458871, 0.7900036, 6.504772, 0.4452136, 1.146066, 1.176749, 2.015138, 0.1233502, 0.2903817, 1.066573, 15.07287, 3.333231, 0.1234278
1078.898281659982, 7.20969, 0.001172481, 2.064623, 2.134554, 2.289251, 0.1349608, 0.7464129, 6.184358, 0.4220328, 1.262114, 1.078827, 1.895339, 0.1161496, 0.2757821, 1.838972, 14.29335, 3.111076, 0.1159587
1078.998244439715, 8.944291, 0.001101697, 1.95709, 2.017065, 2.070354, 0.1248529, 0.7052275, 5.879726, 0.4000589, 1.201571, 0.9890525, 1.782663, 0.1093692, 0.2619165, 1.722261, 13.55415, 2.903727, 0.1089417
1079.098207219448, 8.916873, 0.001035187, 1.855158, 1.906043, 1.872387, 0.1155019, 0.6663146, 5.590101, 0.3792291, 1.143932, 0.906749, 1.676685, 0.1029847, 0.2487481, 1.612958, 13.16228, 2.710198, 0.1023492
1079.198169999182, 8.754251, 0.0009726917, 1.758535, 1.801132, 1.693349, 0.1068514, 0.6295488, 5.314742, 0.8175911, 1.089058, 0.8312942, 2.182338, 0.09697293, 0.354895, 1.510591, 12.48157, 2.529567, 0.0961557
1079.298132778915, 8.818196, 0.0009139696, 1.666945, 1.701995, 2.198812, 0.09884868, 0.5948117, 5.052946, 0.7750219, 1.036816, 0.7621185, 2.0526, 0.09131207, 0.5542346, 1.414721, 11.83607, 2.360976, 0.09033698
1079.398095558648, 8.328189, 0.0008587925, 1.580124, 1.608315, 1.988562, 0.09144536, 0.5619913, 5.296244, 0.734669, 0.9870808, 0.6986991, 1.930574, 0.08598166, 0.5263692, 1.623624, 12.68898, 2.20362, 0.08487037
1079.498058338381, 7.86541, 0.0008069465, 1.497826, 1.519791, 1.798416, 0.08459651, 0.5309819, 6.098542, 0.9887807, 0.9397309, 0.6405572, 1.815803, 0.08096242, 0.4999048, 2.077473, 12.03275, 2.056752, 0.07973456
1079.598021118114, 7.924928, 0.0007582305, 1.419814, 1.43614, 1.626452, 0.07826061, 0.5016835, 5.798138, 1.127232, 0.8946524, 0.5872535, 1.707855, 0.07623618, 0.474771, 1.945626, 11.41046, 1.919673, 0.07490955
