 , C00, C09, C10, C25, C26, C27, C32, C39
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
7.397233066931743, 3.298189, 3.23027, 0.8181744, 0.2548845, 5.405217, 0, 0.1546743, 0.4743485
7.497195675944334, 3.050109, 2.217567, 2.192535, 1.205595, 9.174268, 0, 0.1468327, 12.86122
7.597158284956925, 3.091069, 1.522351, 2.413221, 2.052821, 9.230399, 0, 0.660656, 21.71366
7.697120893969516, 2.858568, 1.045088, 3.231246, 2.882001, 9.641186, 0, 0.6271627, 36.23361
7.797083502982107, 2.643555, 0.7174485, 5.07624, 4.742696, 12.53923, 0, 0.5953674, 47.14485
7.897046111994698, 2.444715, 1.045648, 5.435475, 4.319027, 11.97863, 0, 0.5651841, 60.27038
7.99700872100729, 2.260831, 2.088376, 4.469072, 5.564158, 11.30804, 0, 0.5365309, 56.56569
8.096971330019882, 2.090778, 1.433662, 6.420609, 7.30492, 12.24323, 0, 0.5093304, 77.14737
8.196933939032473, 1.933516, 0.9842029, 7.89861, 8.544698, 11.55784, 0, 0.4835089, 77.85731
8.296896548045064, 1.788082, 0.6756513, 6.920323, 7.781393, 10.91081, 0, 0.4589964, 74.75788
8.396859157057655, 1.653588, 1.214105, 6.343328, 8.203494, 12.71835, 0, 0.4357266, 90.95298
8.496821766070244, 1.52921, 0.8334779, 5.215513, 8.202985, 12.00636, 0, 0.4136366, 85.13556
8.596784375082835, 1.414188, 0.5721792, 6.843591, 8.328816, 12.48194, 0, 0.3926665, 79.69022
8.696746984095427, 1.307817, 0.3927987, 8.628779, 7.584796, 12.23858, 0, 0.3727594, 74.59318
8.796709593108018, 2.172286, 1.86224, 7.240763, 7.788631, 12.06901, 0, 0.3538616, 69.82214
8.896672202120609, 2.632609, 4.577092, 5.953388, 8.875281, 14.6391, 0, 0.3359219, 78.41724
8.9966348111332, 3.244392, 3.964, 4.894903, 9.402044, 15.16143, 0, 0.3188916, 73.74966
9.096597420145791, 3.000358, 5.915703, 4.024611, 10.73527, 17.04961, 0, 0.3027248, 82.35985
9.196560029158382, 2.77468, 4.061106, 3.309053, 9.776276, 16.72829, 0, 0.2873775, 77.09205
9.296522638170973, 2.565977, 2.787933, 2.720719, 8.902953, 15.79181, 0, 0.2728083, 72.16119
9.396485247183564, 2.372972, 1.913905, 2.236987, 8.107645, 14.90776, 0, 0.2589778, 67.54571
9.496447856196156, 2.194484, 1.313888, 1.839261, 7.383383, 14.07319, 0, 0.2458484, 63.22543
9.596410465208747, 2.029421, 0.9019788, 1.710376, 6.723819, 13.28535, 0, 0.2333846, 59.18149
9.696373074221338, 2.974344, 0.6192048, 1.406279, 6.123175, 12.54161, 0, 0.2215527, 55.3962
9.796335683233929, 2.750623, 1.058885, 1.156249, 5.576187, 11.83951, 0, 0.2103206, 51.85302
9.89629829224652, 2.54373, 2.105043, 0.9506733, 5.078062, 11.17671, 0, 0.199658, 48.53646
9.996260901259111, 4.665765, 2.493261, 0.7816479, 4.624435, 10.65403, 0, 0.1895359, 45.43203
10.0962235102717, 4.31482, 1.711614, 0.6426744, 4.428099, 10.0576, 0, 0.179927, 42.52617
10.19618611928429, 3.990272, 1.175016, 0.5284098, 4.032533, 10.43113, 0, 0.1708053, 39.80616
10.29614872829688, 3.690136, 0.8066436, 1.051055, 5.0555, 9.847174, 0, 0.1621459, 37.26013
10.39611133730948, 3.481729, 0.5537575, 2.14034, 4.603888, 9.65363, 0, 0.1539256, 34.87695
10.49607394632207, 3.219843, 0.7318028, 1.759797, 4.192619, 9.113202, 0, 0.1461221, 32.64619
10.59603655533466, 3.007351, 2.578992, 1.446913, 3.818089, 8.603028, 0, 0.1387141, 30.55812
10.69599916434725, 2.781147, 1.770468, 2.542066, 3.477016, 8.121415, 0, 0.1316817, 28.6036
10.79596177335984, 2.571958, 1.844802, 2.434665, 3.166411, 8.651256, 0, 0.1250058, 26.77409
10.89592438237243, 2.378503, 3.765011, 2.001792, 3.268487, 8.166943, 0, 0.1186684, 25.0616
10.99588699138502, 2.199599, 3.887078, 1.645883, 3.98227, 7.709743, 0, 0.1126523, 23.45864
11.09584960039761, 2.034152, 2.88194, 1.353252, 3.62653, 7.829827, 0, 0.1069411, 21.95821
11.1958122094102, 1.881149, 1.97844, 1.252479, 3.30257, 7.3915, 0, 0.1015195, 20.55375
11.2957748184228, 1.739655, 1.358191, 3.800024, 3.007549, 6.97771, 0, 0.0963728, 19.23911
11.39573742743539, 1.608803, 1.50763, 3.124397, 3.902659, 6.587085, 0, 0.09148698, 18.00857
11.49570003644798, 1.487794, 2.926084, 2.568893, 4.404274, 6.218328, 0, 0.08684886, 16.85673
11.59566264546057, 1.375886, 2.012331, 3.376792, 4.010836, 6.59841, 0, 0.08244588, 15.77856
11.69562525447316, 1.514461, 2.067052, 2.776414, 3.652545, 6.845994, 0, 0.07826612, 14.76935
11.79558786348575, 2.191535, 2.325034, 2.454286, 3.32626, 6.709037, 0, 0.07429826, 13.82469
11.89555047249834, 2.026694, 2.527374, 2.574354, 3.853171, 6.333453, 0, 0.07053156, 12.94046
11.99551308151093, 1.947291, 1.735032, 2.116646, 3.508964, 5.978895, 0, 0.06695582, 12.11277
12.09547569052353, 2.256769, 2.149879, 1.740316, 3.195506, 6.482268, 0, 0.06356136, 11.33803
12.19543829953612, 2.087022, 1.560269, 1.430896, 2.910049, 6.5225, 0, 0.06033899, 10.61284
12.29540090854871, 1.930042, 1.071118, 1.176489, 2.650092, 6.157358, 0, 0.461974, 9.934038
12.3953635175613, 1.78487, 0.7353184, 1.140677, 2.413357, 5.812658, 0, 0.4385532, 9.29865
12.49532612657389, 1.650617, 0.5047931, 3.818046, 2.19777, 5.487255, 0, 0.4163199, 8.703901
12.59528873558648, 1.526463, 0.3465384, 4.879169, 2.159278, 5.183803, 0, 0.3952137, 8.147193
12.69525134459907, 1.411647, 2.375282, 5.073214, 2.475541, 4.893604, 0, 0.3751776, 7.626092
12.79521395361166, 2.196076, 4.898642, 4.171219, 2.254399, 6.090333, 0, 0.3561572, 7.138322
12.89517656262425, 2.030894, 5.068604, 3.429595, 2.053011, 5.749385, 0, 0.3381011, 6.68175
12.99513917163685, 2.20255, 3.884451, 2.819829, 1.869614, 6.302443, 0, 0.3209603, 6.25438
13.09510178064944, 2.036881, 2.841044, 2.318476, 1.7026, 6.193764, 0, 0.3046886, 5.854345
13.19506438966203, 2.951247, 1.950365, 1.906262, 1.956026, 5.943316, 0, 0.2892418, 5.479897
13.29502699867462, 2.757823, 1.338918, 1.567337, 1.781293, 5.610599, 0, 0.2745781, 5.129399
13.39498960768721, 2.96385, 0.9191617, 1.288672, 1.622169, 5.296507, 0, 0.2606578, 4.801319
13.4949522166998, 2.740919, 0.6310008, 1.059552, 2.245782, 4.999999, 0, 0.2474432, 4.494223
13.59491482571239, 2.534755, 0.4331795, 2.444199, 2.045164, 4.825686, 0, 0.2348986, 4.206769
13.69487743472498, 2.344098, 1.419186, 2.009631, 2.132977, 4.555535, 0, 0.2229899, 3.937701
13.79484004373757, 2.167782, 1.950769, 1.652328, 1.942437, 4.300508, 0, 0.211685, 3.685843
13.89480265275017, 3.720893, 2.633815, 1.358552, 1.768917, 4.059757, 0, 0.2009532, 3.450094
13.99476526176276, 3.709267, 1.808103, 1.117007, 1.724561, 3.832485, 0, 0.1907655, 3.229423
14.09472787077535, 3.430267, 1.241256, 3.065459, 1.570505, 4.754192, 0, 0.1810942, 3.022867
14.19469047978794, 3.844683, 0.8521169, 2.589803, 1.43021, 4.500091, 0, 0.1719133, 2.829522
14.29465308880053, 3.822374, 0.5849748, 3.854947, 1.302449, 4.248168, 0, 0.1631978, 2.648544
14.39461569781312, 3.534867, 1.467597, 3.169555, 1.685892, 4.010347, 0, 0.1549241, 2.479141
14.49457830682571, 3.268985, 2.55442, 2.606022, 1.53529, 3.949357, 0, 0.1470699, 2.320573
14.5945409158383, 3.023102, 3.20857, 2.142684, 1.398142, 3.728264, 0, 0.1396139, 2.172148
14.69450352485089, 3.873918, 4.753469, 1.761724, 1.273245, 3.519549, 0, 0.1325359, 2.033215
