,"C00","C01","C02","C04","C05","C06","C07","C08","C10","C11","C13","C14","C15","C17","C18"
"Time(s)/Cell Status"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"
133.95032076132,12.54216,7.201634E-27,0.634884,0.00000005284038,5.605194E-45,0.2180957,1.159722,0.5957704,2.385022,0.0003063756,0.0000001055099,2.90883E-33,0.03157709,9.595891,18.5521
134.050283687262,20.36845,5.72944E-27,0.60808,0.00000004185723,4.203895E-45,0.2053195,1.044996,0.5208123,2.094239,0.0002395089,0.00000008814607,2.542581E-33,0.02506792,12.03832,17.74566
134.150246613203,24.05881,4.5582E-27,0.5824077,0.00000003315698,2.802597E-45,0.1932918,0.9416201,0.4552852,2.258168,0.000187236,0.0000000736398,2.222447E-33,0.01990053,11.49574,16.97427
134.250209539144,32.37823,3.62639E-27,1.420273,0.00000002626512,2.802597E-45,0.4893967,0.8484704,0.3980025,1.982851,0.0001463716,0.00000006152084,1.94262E-33,0.01579832,10.97761,16.37716
134.350172465085,36.66759,2.885066E-27,1.360311,0.00000002080578,2.802597E-45,0.4607275,0.7645356,0.408444,1.7411,0.0001144259,0.00000005139631,1.698026E-33,0.01254172,10.48284,15.66526
134.450135391027,45.23975,2.295286E-27,1.694634,0.00000001648118,2.802597E-45,0.4337379,0.688904,0.3570548,1.528824,0.00008945238,0.00000004293798,1.484229E-33,0.009956427,10.01036,14.98431
134.550098316968,49.55578,1.826073E-27,1.623089,0.00000001305548,2.802597E-45,0.4083293,0.6207542,0.3121312,1.342429,0.00006992934,0.00000003587164,1.297351E-33,0.007904052,9.559184,15.46889
134.650061242909,53.26116,1.452778E-27,1.554564,0.00000001034183,2.802597E-45,0.3844091,0.5593462,0.2728598,1.17876,0.00005466722,0.00000002996822,1.134002E-33,0.006274744,9.12834,14.79648
134.750024168851,58.08733,1.155794E-27,1.488932,0.459557,2.802597E-45,0.3618903,0.5040129,0.2385293,1.035045,0.00004273606,0.00000002503632,9.91221E-34,0.004981296,8.716914,14.15329
134.849987094792,62.49904,9.195208E-28,1.426072,0.3640356,2.802597E-45,0.3406905,0.4541535,0.2085183,0.9088515,0.00003340889,0.00000002091608,8.664171E-34,0.003954473,8.324032,14.36118
134.949950020733,68.36911,7.315478E-28,1.365865,0.2883689,2.802597E-45,0.3207327,0.796822,0.5760105,0.7980438,0.00002611738,0.0000000174739,7.573272E-34,0.003139315,7.948857,14.3774
135.049912946674,73.43272,5.820012E-28,1.3082,0.2284299,2.802597E-45,0.301944,0.7179965,0.5035385,0.7007459,0.00002041724,0.00000001459821,6.619727E-34,0.00249219,7.590592,13.75243
135.149875872616,75.18892,4.630257E-28,1.252969,0.1809495,2.802597E-45,0.284256,0.6469688,0.4401848,0.6153106,0.00001596117,0.00000001219577,5.786242E-34,0.001978461,7.248475,13.15462
135.249838798557,78.33759,3.683717E-28,1.200071,0.1433382,2.802597E-45,0.2676041,0.5829675,0.384802,0.5402916,0.00001247763,0.0000000101887,0.532915,0.001570629,6.921777,12.58281
135.349801724498,82.44356,2.930673E-28,1.149405,0.1135446,2.802597E-45,0.2519277,0.5252975,0.3363874,0.474419,0.000009754381,0.000000008511938,0.4658161,0.001246867,6.609804,12.73901
135.44976465044,84.92818,2.331571E-28,1.100879,0.08994372,2.802597E-45,0.2371697,0.4733325,0.2940641,0.4165775,0.000007625481,0.000000007111121,0.4071655,0.0009898428,6.311892,12.18526
135.549727576381,81.66856,1.85494E-28,1.054401,0.07124844,2.802597E-45,0.2232761,0.4265081,0.2570659,0.3657882,0.000005961215,0.000000005940838,0.3558996,0.0007858009,6.027407,12.45212
135.649690502322,77.84097,1.475744E-28,1.009886,0.05643907,2.802597E-45,0.2101965,1.134673,0.2247226,0.3211911,0.000004660176,0.00000000496315,0.3110885,0.0006238192,5.755744,11.91083
