 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C11, C12
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
726.928851803661,0.219427,0.001829464,0.002814964,0.000006019056,0.000000009033132,0.5687548,0.4791778,0.1366821,0.007315551,7.070273,0.7235863,0.273827
727.028814517055,0.1999201,0.001709407,0.002684302,0.000005562282,0.000000008255915,0.5442274,0.4546552,0.1216731,0.00679497,9.082385,0.6513017,0.2557625
727.128777230449,0.1821475,0.001597229,0.002559706,0.000005140171,0.00000000754557,0.5207578,0.4313876,0.1083123,0.006311433,8.962076,0.5862381,0.2732437
727.228739943844,0.1659548,0.001492413,0.002440892,0.000004750093,0.000000006896344,0.4983003,0.4093108,0.09641862,0.005862305,8.448269,0.5276742,0.2552178
727.328702657238,0.1512016,0.001394475,0.002327594,0.000004389618,0.000000006302978,0.4768113,0.3883637,0.08583097,0.005445138,7.963919,0.4749607,0.238381
727.428665370632,0.1377599,0.001302964,0.002219555,0.000004056498,0.000000005760666,0.4562489,0.3684887,0.07640594,0.005057657,7.507338,0.4275132,0.222655
727.528628084027,0.1255132,0.001217459,0.00211653,0.000003748659,0.000000005265014,0.4365734,0.3496308,0.06801587,0.004697749,8.283115,0.3848056,0.2079664
727.628590797421,0.1143552,0.001137564,0.002018288,0.00000346418,0.000000004812009,0.4177463,0.9083186,0.06054711,0.004363453,7.808234,0.3463644,0.7174691
727.728553510815,0.1041892,0.001062913,0.001924605,0.00000320129,0.000000004397981,0.3997311,0.8618342,0.05389848,0.004052945,8.528754,0.3117634,0.6701376
727.82851622421,0.3920669,0.0009931605,0.001835271,0.000002958351,0.000000004019575,0.3824928,0.8177286,0.04797993,0.003764533,8.03979,0.2806189,0.6259285
727.928478937604,0.3572125,0.0009279855,0.001750084,0.000002733847,0.000000003673728,0.365998,0.7758803,0.0427113,0.003496645,7.578859,0.2525857,0.5846359
728.028441650998,0.3254567,0.0008670875,0.001668851,0.000002526381,0.000000003357638,0.3502144,1.527006,0.0380212,0.003247821,8.691882,0.227353,0.5460674
728.128404364393,0.296524,0.0008101858,0.001591388,0.000002334659,0.000000003068745,0.3351115,1.45655,0.03384613,0.003016703,8.193565,0.2046409,0.5100433
728.228367077787,0.2701633,0.0007570183,0.001517521,0.000002157486,0.000000002804708,0.32066,1.403424,0.03012951,0.002802031,8.783643,0.1841977,0.4763956
728.328329791181,0.2461461,0.0007073398,0.001447083,0.000001993759,0.000000002563389,0.3068316,1.331601,0.02682102,0.002602636,8.280066,0.2231001,0.4449677
728.428292504576,0.224264,0.0006609214,0.001379914,0.000001842456,0.000000002342833,0.2935996,1.263455,0.02387582,0.00241743,7.805359,0.6969615,0.4156132
728.52825521797,0.2043272,0.0006175492,0.001315863,0.000001702636,0.000000002141254,0.2809382,1.198796,0.02125404,0.002245403,7.357868,0.6273366,0.3881951
728.628217931364,0.1861627,1.439076,0.001254785,0.000001573426,0.000000001957019,0.2688228,1.137446,0.01892015,0.002085618,8.536109,0.564667,0.3625858
728.728180644759,0.1696131,1.626272,0.001196541,0.000001454022,0.000000001788636,0.2572299,1.2925,0.01684254,0.001937203,8.688092,0.5082581,0.338666
728.828143358153,0.1545347,1.51955,0.001141002,0.000001343679,0.00000000163474,0.246137,1.538447,0.01499308,0.00179935,8.189993,0.4574843,0.3163242
728.928106071547,0.1407967,2.7807,0.00108804,0.00000124171,0.000000001494086,0.2355224,1.459714,0.0133467,0.001671307,7.72045,0.4117826,0.2954562
729.028068784942,0.12828,2.59822,0.001037537,0.000001147479,0.000000001365534,0.2253656,1.385012,0.01188111,0.001552375,8.378785,0.3706465,0.2759649
729.128031498336,0.1168761,2.427715,0.0009893778,0.000001060399,0.000000001248043,0.2156467,1.314132,0.01057646,0.001441906,8.655194,0.3336197,0.2577595
729.227994211731,0.1064859,2.268399,0.0009434542,0.0000009799274,0.00000000114066,0.206347,1.246879,0.009415064,0.001339299,8.158981,0.3002919,0.2407551
729.327956925125,0.09701943,2.119537,0.0008996621,0.0000009055627,0.000000001042517,0.1974484,1.183069,0.008381204,0.001243993,8.568084,0.2702934,0.2248724
729.427919638519,0.08839452,1.980445,0.0008579027,0.0000008368413,9.528182E-10,0.1889335,1.122523,0.007460871,0.001155469,8.076864,0.2432917,0.2100376
729.527882351914,0.08053634,1.850481,0.0008180816,0.000000773335,8.70837E-10,0.1807858,1.065077,0.006641599,0.001073245,9.60331,0.2189874,0.1961814
729.627845065308,0.07337675,1.729045,0.0007801089,0.0000007146482,7.959096E-10,0.1729895,1.01057,0.00591229,0.0009968719,9.05274,0.1971111,0.1832393
729.727807778702,0.06685364,1.615578,0.0007438988,0.000000660415,7.27429E-10,0.1655294,0.9588525,0.005263067,0.0009259335,9.194427,0.1774201,0.171151
729.827770492097,0.06091043,1.509558,0.0007093694,0.0000006102974,6.648405E-10,0.158391,0.9097819,0.004685134,0.0008600432,9.28099,0.1596963,0.1598601
729.927733205491,0.05549556,1.410495,0.0006764428,0.0000005639831,6.076372E-10,0.1515604,0.8632226,0.004170663,0.1464752,8.748899,0.1437429,0.1493141
730.027695918885,0.05056206,1.317933,0.0006450446,0.0000005211836,5.553557E-10,0.1450244,0.819046,0.003712686,0.1360519,8.247313,0.1293834,0.1394639
730.12765863228,0.04606715,1.231445,0.00453997,0.000000481632,5.075725E-10,0.1387703,0.7771302,0.003304999,0.1263703,8.59231,0.1164583,0.1302634
730.227621345674,0.04197183,1.150633,0.004329239,0.0000004450819,4.639006E-10,0.1327858,0.7373595,0.00294208,0.1173777,8.099702,0.1048243,0.1216699
730.327584059068,0.03824058,1.075124,0.00412829,0.0000004113055,4.239863E-10,0.1270595,0.7007858,0.002619013,0.1090249,9.278364,0.09435262,0.1136433
730.427546772463,0.03484103,1.00457,0.003936668,0.0000003800923,3.875062E-10,0.1215801,0.6649221,0.002331421,0.1012666,8.746424,0.08492701,0.1061463
730.527509485857,0.03174371,0.938646,0.003753941,0.0000003512478,3.541649E-10,0.116337,0.6308938,0.00207541,0.0940604,8.24498,0.07644299,0.09914379
730.627472199251,0.02892173,0.8770484,0.003579695,0.0000003245923,3.236923E-10,0.11132,0.5986069,0.001847511,0.08736697,8.148023,0.06880651,0.09260326
