 , C0
Time(s)/Cell Status, accepted
14.59451855812439, 0.05140744
14.69448101400195, 0.04412865
14.79444346987952, 0.03788047
14.89440592575708, 0.03251697
14.99436838163465, 0.02791288
15.09433083751221, 0.02396069
15.19429329338977, 0.0205681
15.29425574926734, 0.01765586
15.3942182051449, 0.01515596
15.49418066102247, 0.01301002
15.59414311690003, 0.01116793
15.6941055727776, 0.009586663
15.79406802865516, 0.008229285
15.89403048453273, 0.007064099
15.99399294041029, 0.006063893
16.09395539628785, 0.005205305
16.19391785216542, 0.004468285
16.29388030804298, 0.00383562
16.39384276392055, 0.003292534
16.49380521979811, 0.002826343
16.59376767567568, 0.002426161
16.69373013155324, 0.00208264
16.7936925874308, 0.001787759
16.89365504330837, 0.00153463
16.99361749918593, 0.001317341
17.0935799550635, 0.001130819
17.19354241094106, 0.0009707059
17.29350486681863, 0.0008332635
17.39346732269619, 0.0007152816
17.49342977857376, 0.0006140047
17.59339223445132, 0.0005270677
17.69335469032888, 0.0004524401
17.79331714620645, 0.000388379
17.89327960208401, 0.0003333884
17.99324205796158, 0.0002861838
18.09320451383914, 0.000245663
18.1931669697167, 0.0002108795
18.29312942559427, 0.0001810211
18.39309188147183, 0.0001553903
18.4930543373494, 0.0001333885
18.59301679322696, 0.000114502
18.69297924910452, 9.828965e-05
18.79294170498209, 8.43728e-05
18.89290416085965, 7.242645e-05
18.99286661673722, 6.217157e-05
19.09282907261478, 5.336869e-05
19.19279152849235, 4.581221e-05
19.29275398436991, 3.932565e-05
19.39271644024748, 3.375752e-05
19.49267889612504, 2.897779e-05
19.59264135200261, 2.487482e-05
19.69260380788017, 2.135279e-05
19.79256626375773, 1.832944e-05
19.8925287196353, 1.573417e-05
19.99249117551286, 1.350637e-05
20.09245363139043, 1.1594e-05
20.19241608726799, 9.952404e-06
20.29237854314556, 8.543241e-06
20.39234099902312, 7.333602e-06
20.49230345490068, 6.295236e-06
20.59226591077825, 5.403893e-06
20.69222836665581, 4.638754e-06
20.79219082253338, 3.981952e-06
20.89215327841094, 3.418147e-06
20.9921157342885, 2.934171e-06
21.09207819016607, 2.518721e-06
21.19204064604363, 2.162095e-06
21.2920031019212, 1.855964e-06
21.39196555779876, 1.593177e-06
21.49192801367633, 1.367599e-06
21.59189046955389, 1.173961e-06
21.69185292543145, 1.007739e-06
21.79181538130902, 8.650533e-07
21.89177783718658, 7.425702e-07
21.99174029306415, 6.374295e-07
22.09170274894171, 5.471758e-07
22.19166520481928, 4.697011e-07
22.29162766069684, 4.03196e-07
22.39159011657441, 3.461074e-07
22.49155257245197, 2.97102e-07
22.59151502832954, 2.550353e-07
22.6914774842071, 2.189248e-07
22.79143994008466, 1.879272e-07
22.89140239596223, 1.613185e-07
22.99136485183979, 1.384774e-07
23.09132730771736, 1.188704e-07
23.19128976359492, 1.020395e-07
23.29125221947248, 8.759171e-08
23.39121467535005, 7.518958e-08
23.49117713122761, 6.454348e-08
23.59113958710518, 5.540475e-08
23.69110204298274, 4.755999e-08
23.7910644988603, 4.082596e-08
23.89102695473787, 3.50454e-08
23.99098941061543, 3.008332e-08
24.090951866493, 2.582381e-08
24.19091432237056, 2.216742e-08
24.29087677824813, 1.902873e-08
24.39083923412569, 1.633445e-08
24.49080169000326, 1.402165e-08
24.59076414588082, 1.203632e-08
24.69072660175839, 1.03321e-08
24.79068905763595, 8.869174e-09
24.89065151351351, 7.613386e-09
24.99061396939108, 6.535406e-09
25.09057642526864, 5.610056e-09
25.19053888114621, 4.815727e-09
25.29050133702377, 4.133867e-09
25.39046379290134, 3.548552e-09
25.4904262487789, 3.046112e-09
25.59038870465646, 2.614813e-09
25.69035116053403, 0.6607051
25.79031361641159, 6.129642
25.89027607228916, 8.82647
25.99023852816672, 7.576729
26.09020098404428, 7.170276
26.19016343992185, 6.155035
26.29012589579941, 5.283543
26.39008835167698, 4.535445
26.49005080755454, 4.007447
26.59001326343211, 3.440032
26.68997571930967, 2.952957
26.78993817518723, 2.534847
26.8899006310648, 2.175938
26.98986308694236, 1.867846
27.08982554281993, 1.603378
27.18978799869749, 1.756076
27.28975045457506, 1.507433
27.38971291045262, 1.871586
27.48967536633019, 1.606588
27.58963782220775, 1.379111
27.68960027808532, 1.183842
27.78956273396288, 1.071514
27.88952518984044, 0.9197983
27.98948764571801, 0.7895638
28.08945010159557, 0.6777694
28.18941255747314, 0.5818039
28.2893750133507, 0.4994262
28.38933746922826, 0.4287123
28.48929992510583, 0.3680108
28.58926238098339, 0.4060935
28.68922483686096, 0.3485947
28.78918729273852, 0.4808581
28.88914974861608, 0.8521824
28.98911220449365, 4.535978
29.08907466037121, 3.893728
29.18903711624878, 3.342415
29.28899957212634, 2.869162
29.38896202800391, 2.462917
29.48892448388147, 2.114192
29.58888693975904, 1.814843
29.6888493956366, 1.557879
29.78881185151416, 1.337299
29.88877430739173, 1.14795
29.98873676326929, 0.9854118
30.08869921914686, 0.8458872
30.18866167502442, 0.7261178
30.28862413090199, 0.6233067
30.38858658677955, 0.5350526
30.48854904265712, 0.4592944
30.58851149853468, 0.3942628
30.68847395441224, 0.5066334
30.78843641028981, 0.4348991
30.88839886616737, 0.3733217
30.98836132204494, 0.4312723
31.0883237779225, 0.3702084
31.18828623380006, 0.3177905
31.28824868967763, 0.2727945
31.38821114555519, 0.2341694
31.48817360143276, 0.2279267
31.58813605731032, 0.1956546
31.68809851318789, 0.185783
31.78806096906545, 0.159478
31.88802342494301, 0.1368975
31.98798588082058, 0.1175141
32.08794833669814, 0.1008753
32.18791079257571, 0.09417614
32.28787324845327, 0.08084172
32.38783570433084, 0.06939533
32.4877981602084, 0.05956963
32.58776061608597, 0.2608576
32.68772307196353, 0.2239227
32.78768552784109, 0.1922175
32.88764798371866, 0.1650013
32.98761043959622, 0.7320629
33.08757289547378, 2.601707
33.18753535135135, 2.233331
33.28749780722892, 1.917113
33.38746026310648, 1.645669
33.48742271898404, 1.412658
33.58738517486161, 1.21264
