 , C00, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C19, C20, C21, C22, C23, C25, C26, C27, C28, C29, C30, C31
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
1109.483300190258, 0.2459624, 23.65465, 0.324259, 4.246505e-07, 0.08951433, 2.114225, 0.4040835, 0.002574361, 1.610793e-13, 0.3038558, 0.002554995, 1.342623, 0.0009316194, 0.0003090591, 0.04057456, 2.466683, 0.04906452, 0.0001361878, 2.805103e-11, 0.7691787, 0.03754943, 1.885349, 5.488684e-20, 4.770578e-06, 6.700269e-22
1109.583262646353, 0.2311312, 25.77011, 0.2849834, 3.72033e-07, 0.08233662, 2.003922, 0.3674035, 0.002373033, 1.716272, 0.2736646, 0.002348897, 2.078938, 0.0008676219, 0.0002921625, 0.03824773, 2.252138, 0.04535413, 0.0001281929, 2.592042e-11, 0.722412, 0.03559876, 1.800852, 5.03006e-20, 4.411356e-06, 6.023332e-22
1109.683225102447, 0.2171944, 29.78791, 0.2504649, 3.259353e-07, 0.07573445, 1.899374, 0.3340531, 0.00218745, 9.54856, 0.2464731, 0.002159424, 1.932495, 0.0008080206, 0.0002761896, 0.03605434, 2.056253, 0.04192433, 0.0001206674, 2.395163e-11, 0.6784888, 0.03374943, 1.720141, 4.609757e-20, 4.079184e-06, 5.414787e-22
1109.783187558541, 0.2040979, 31.81006, 0.2201276, 2.855494e-07, 0.06966168, 1.80028, 0.30373, 0.00201638, 14.10286, 0.2219835, 0.001985235, 2.93394, 0.0007525137, 0.0002610899, 0.03398672, 2.133524, 0.0387539, 0.0001135837, 2.213239e-11, 0.6372361, 0.03199617, 1.643048, 4.224575e-20, 3.772024e-06, 4.867724e-22
1109.883150014635, 0.1917911, 34.02681, 0.1934648, 2.501677e-07, 0.06407585, 1.706357, 0.2761594, 0.001858689, 12.50991, 0.1999271, 0.001825096, 2.72727, 0.0007008198, 0.0002468158, 0.03203769, 1.947956, 0.03582323, 0.0001069158, 2.045133e-11, 0.5984916, 0.03033399, 1.56941, 3.871577e-20, 3.487994e-06, 4.375931e-22
1109.98311247073, 0.1802264, 32.48024, 0.1700315, 2.1917e-07, 0.05893793, 1.617333, 0.7739822, 0.00171333, 11.09689, 0.1800623, 0.001677876, 2.535158, 0.000652677, 0.000233322, 0.03020042, 1.778528, 0.03311418, 0.0001006394, 1.889795e-11, 0.5621028, 0.02875816, 1.499073, 3.548075e-20, 3.22535e-06, 3.933825e-22
1110.083074926824, 0.1693591, 32.29556, 0.1494365, 1.920132e-07, 0.05421199, 2.698913, 0.7037253, 0.001579339, 9.843468, 0.1621712, 0.00154253, 2.356579, 0.0006078414, 0.000220566, 0.02846851, 1.623837, 0.03060999, 9.47314e-05, 1.746256e-11, 0.5279264, 0.0272642, 1.431887, 3.251605e-20, 2.982483e-06, 3.536385e-22
1110.183037382918, 0.159147, 31.13646, 0.1313361, 1.682213e-07, 0.04986499, 3.594743, 0.6398458, 0.001455827, 8.731627, 0.1460578, 0.001418103, 2.487127, 0.0005660858, 0.0002085074, 0.02683593, 1.4826, 0.02829518, 8.917024e-05, 1.613619e-11, 0.4958281, 0.02584784, 1.367713, 2.979907e-20, 2.757904e-06, 3.179099e-22
1110.282999839012, 0.1495507, 31.25141, 0.1154281, 1.473774e-07, 0.04586656, 3.407199, 0.5817648, 0.001341974, 7.74537, 0.1315454, 0.001303712, 2.311931, 0.0005271985, 0.000197108, 0.02529697, 1.353648, 0.02615543, 8.393554e-05, 1.491057e-11, 0.6752322, 0.02450507, 1.306415, 2.730911e-20, 2.550236e-06, 2.85791e-22
1110.382962295107, 0.140533, 30.23285, 0.101447, 1.291162e-07, 0.04218875, 4.151641, 0.5289561, 0.001237025, 6.870513, 0.118475, 0.001198548, 2.846782, 0.0004909827, 0.0001863318, 0.02384626, 1.235911, 0.02417748, 7.900815e-05, 1.377804e-11, 1.727641, 0.02323205, 1.247864, 2.502721e-20, 2.358205e-06, 2.569172e-22
