 , C04, C05, C06, C07, C12, C13, C14, C15, C16, C17
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
2.299140359232176, 0.1844186, 9.188523, 5.855104, 1.40344, 0, 0.0002589468, 1.501055, 0, 0, 0
2.399102983546618, 0.1685814, 8.596115, 5.613718, 1.590064, 0, 0.0002070376, 1.419044, 0, 0, 0
2.49906560786106, 0.1541043, 8.041901, 5.382283, 1.50103, 0, 0.0001655342, 1.373105, 0, 0, 0
2.599028232175503, 0.1408704, 7.523417, 5.644289, 1.416982, 0, 0.0001323507, 1.298085, 0, 0, 0
2.698990856489945, 0.128773, 7.038363, 5.411593, 1.337639, 0, 0.0001058193, 1.227164, 0, 0, 0
2.798953480804387, 0.1177144, 6.584581, 5.67832, 1.26274, 0, 8.460644e-05, 1.160118, 0, 0, 0
2.89891610511883, 0.1076055, 6.160055, 5.444221, 1.692821, 0, 6.764598e-05, 1.096735, 0, 0, 0
2.998878729433272, 0.09836479, 5.7629, 5.219775, 1.598034, 0, 5.408547e-05, 1.036814, 0, 0, 0
3.098841353747715, 0.08991759, 5.795649, 5.004581, 1.508554, 0, 4.324333e-05, 0.9801679, 0, 0, 0
3.198803978062157, 0.0821958, 5.421988, 4.798259, 1.424084, 0, 3.457464e-05, 0.9266162, 0, 0, 0
3.2987666023766, 0.07513714, 5.072418, 4.600442, 1.344344, 0, 2.764371e-05, 0.8759903, 0, 0, 0
3.398729226691042, 0.06868464, 4.745386, 4.410781, 2.381393, 0, 2.210217e-05, 0.8281304, 0, 0, 0
3.498691851005484, 0.06278627, 4.439438, 4.22894, 2.24805, 0, 1.76715e-05, 0.7828854, 0, 0, 0
3.598654475319927, 0.05739442, 4.549297, 4.902053, 2.122173, 0, 0.131632, 0.7401124, 0, 0, 0
3.698617099634369, 0.0524656, 4.255991, 4.699957, 2.536386, 0, 0.1052447, 0.6996762, 0, 0, 0
3.798579723948812, 0.04796005, 4.806668, 4.506194, 2.394364, 0, 0.08414701, 0.6614493, 0, 0, 0
3.898542348263254, 0.04384143, 4.656982, 4.320418, 2.260294, 0, 0.227011, 0.6253109, 0, 0, 0
3.998504972577697, 0.04007649, 4.850517, 4.142302, 2.133732, 0, 0.1815037, 0.5911469, 0, 0, 0
4.098467596892139, 0.03663487, 4.537791, 3.971528, 2.014256, 0, 0.1451189, 0.5588495, 0, 0, 0
