 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18
Time(s)/Cell Status, accepted, accepted, accepted, rejected, accepted, accepted, accepted, accepted, accepted, rejected, accepted, accepted, rejected, accepted, accepted, accepted, rejected, accepted, accepted
1.999258518825676, 3.468779, -0.9090191, 2.474008, -0.059435, 0.09286116, 0.2116556, -0.3128017, 1.429928, -1.735211, -2.220427, 0.951626, 1.057589, 0.1759556, -0.1191113, 0.127373, 0.6069766, -0.2432979, 14.91637, 3.100759
2.09922144476696, 4.13906, 0.4378066, 1.15321, -3.552135, 0.9095298, 0.7390895, -1.171311, 1.614654, -1.689041, 1.048272, 1.118471, -0.5028791, -0.972091, 0.5755577, -1.615158, -0.6777062, 0.9626294, 12.67676, 3.924844
2.199184370708243, 4.432796, 0.6932721, 2.248189, -1.487514, -1.862648, -0.4516122, -1.544782, 0.2165335, -1.362065, -0.07510731, 3.571126, -1.901614, -0.02472416, -0.1300488, -1.835928, -1.058253, 1.389196, 14.18255, 2.984931
2.299147296649527, 4.230705, -0.5482889, 0.98124, -1.822768, -0.3244789, -0.2579507, 0.447873, 0.9705074, 0.7073159, 1.174243, 1.916789, -0.2002116, 0.6506588, -1.884987, -2.013191, 1.510782, -0.2288321, 12.05762, 1.496599
2.399110222590811, 3.947711, -0.6110974, 1.128288, -2.46179, -1.250176, 0.7076979, -0.9005547, -0.7688367, -2.300205, 1.305303, 0.5518783, 1.158623, 0.2171005, -1.360778, -0.8700284, 0.6592616, 1.134913, 12.9573, 3.296388
2.499073148532095, 4.435189, -1.91179, 1.904349, -2.041292, -0.8587617, 0.9017872, -1.621275, 0.01553624, -1.759004, 0.001987842, -0.7067317, -0.5616874, 1.17551, -0.3256229, 0.4925727, 2.05317, 0.2098616, 10.58771, 2.476745
2.599036074473378, 4.704476, -2.672305, 0.8966033, -1.961824, 1.222099, 2.006455, 0.89656, 0.6161069, 0.7818108, 0.4589648, 0.972083, -0.4405406, 0.645808, -0.03539094, 0.7399572, -0.5707788, 0.6020203, 13.21675, 3.43222
2.698999000414663, 3.98154, -2.067739, 1.932184, -1.057593, -0.6840882, -0.08560573, -2.045394, 2.605024, -3.798184, -0.9500956, -1.246865, 0.9952813, -0.5347179, -1.948106, -1.436019, -1.048531, -0.8977755, 11.80172, 2.007348
2.798961926355946, 4.642441, 1.116996, 0.9764087, -3.267876, -0.5634465, 0.8151957, -0.9669318, -0.3050999, -0.8511359, 0.7491371, -2.799447, -2.002679, 0.8237807, -0.4250326, -1.699162, 0.2994976, 0.5109355, 11.24781, 3.530224
2.89892485229723, 5.387399, 0.3208167, 0.2173036, -2.323024, 0.6445125, -0.4486029, -0.1899841, 0.2262177, -0.5774946, 0.0771867, 0.6833253, -1.059409, -0.4277503, -1.575325, 0.005349325, 0.2642808, -0.1994198, 12.46626, 3.334147
2.998887778238514, 3.604817, 0.7769352, 2.530905, -0.4929303, -1.520429, -0.03938013, -2.069615, -0.4863706, -2.783212, 0.3449826, -0.7978126, 0.02443154, 0.2428927, -0.3661878, 0.9191692, 0.9024673, -0.8359557, 14.48378, 2.947023
3.098850704179798, 4.354941, -1.210306, 1.742232, -1.931419, 0.5304797, -0.5335215, 0.3024247, 1.318515, -0.1068199, -0.5651572, 0.4127158, -1.240838, -0.03459113, -0.9168805, -0.4276899, -0.7978238, 1.09403, 14.54278, 2.171667
3.198813630121081, 4.540791, -1.174817, 1.26666, -3.476828, -0.5056297, -0.2787741, 0.3718798, -0.5617698, -0.324448, -0.595077, -0.6188026, 0.270716, 1.414638, -1.147217, 0.2641923, -0.0766549, -0.482783, 13.63144, 2.170421
3.298776556062365, 4.229407, 0.5660326, 2.640477, -1.17273, -1.047453, -0.4723957, -1.563549, -1.209776, -1.068739, -0.3232569, -0.1890384, -0.7089116, -1.18786, 0.08310404, 1.075881, -0.4306601, -0.02592587, 15.15338, 1.882709
3.398739482003649, 2.534725, -0.2249698, 2.6866, -2.64083, -0.8034246, -1.869582, -0.0482797, -0.5904822, 0.3560136, -0.05883673, 0.851638, -0.4752259, 1.447098, 1.602343, -3.196885, 2.159578, 0.3027853, 15.21581, 2.660744
3.498702407944933, 4.623148, -1.621444, 3.206233, -1.066755, 1.917035, 0.4911728, -1.118776, -0.8529518, -1.391569, 0.9482726, -1.536018, -1.031119, 0.6274537, -1.110065, 0.2728085, -0.1425767, 0.2190943, 16.42522, 4.222497
3.598665333886216, 3.949405, 0.8400881, 2.846393, 1.217832, -0.2890441, -1.992259, 0.05727446, -1.274104, 0.2087553, 0.4261232, -1.515142, 1.183431, 1.71244, -1.42353, -1.07427, -0.2360211, -0.003691829, 17.70568, 2.075505
3.6986282598275, 1.036863, 0.1549268, 4.546903, 1.411873, 0.3616517, -0.6262517, 2.150615, -0.3835815, 2.037097, -0.9994394, -0.8747274, -0.08426056, -0.7851939, -0.1567792, -0.8694084, 0.8973584, -1.185399, 19.49305, 2.70994
3.798591185768784, 3.864057, 2.253049, 3.739352, 2.050828, 1.436985, 0.4333228, 3.101753, -1.411434, -0.8629454, -0.2767624, 0.2462017, -0.8210671, 2.034224, -1.727138, 1.457438, 1.211974, 1.257885, 20.55672, 2.254757
3.898554111710068, 2.934753, -0.5915563, 7.650841, -0.8083709, 1.916422, -2.237302, 2.241876, -0.1911646, 0.5381016, 2.335149, 0.3453148, 0.009395338, -0.8263794, 0.5770686, -0.1879516, 1.526229, -0.5229253, 18.89524, 3.146665
3.998517037651352, 0.5707738, -0.8561681, 7.171767, 1.245514, -0.5460801, 0.8098121, 4.938024, 1.662657, 0.7788856, 0.4451048, 0.2624395, -0.4202096, -0.06816228, 1.08362, -0.1705136, 0.2561313, 1.982323, 17.84668, 0.4922158
4.098479963592635, 4.149181, 0.1185737, 8.632962, 0.04332206, -1.936582, -0.06473561, 5.779378, 1.510018, -0.009241082, 0.7424203, 0.951018, -0.6659898, 0.7407067, 0.09048769, -0.820105, -0.8576795, 1.951669, 19.45753, 2.524421
